"Ticker","Nome","Negócios","Última (R$)","Variação"
"CVCB3","CVC","44.003.300","2,07","-10,78%"
"ABEV3","Ambev","42.653.700","12,12","-0,90%"
"COGN3","Cogna","40.817.300","2,87","-4,01%"
"MRVE3","MRV","39.558.800","6,92","+6,63%"
"PETR4","Petrobras","38.340.700","30,57","-0,75%"
"B3SA3","B3","34.558.200","12,70","+0,40%"
"BBAS3","Banco do Brasil","33.738.000","19,28","+0,21%"
"CBAV3","CBA","33.307.600","3,14","-2,18%"
"PCAR3","Grupo Pão de Açúcar","29.306.800","2,71","-10,56%"
"BBDC4","Banco Bradesco","29.193.000","16,13","-0,86%"
"ASAI3","Assaí","27.318.400","9,93","-4,98%"
"CSAN3","Cosan","23.639.700","5,78","-1,20%"
"GMAT3","Grupo Mateus","23.635.500","7,11","-6,94%"
"ITUB4","Itaú Unibanco","21.959.700","37,67","-0,95%"
"RAIZ4","Raízen","21.864.400","1,20","-0,83%"
"LREN3","Lojas Renner","21.746.600","16,09","-3,77%"
"CPLE6","Copel","20.598.600","12,11","-2,96%"
"MGLU3","Magazine Luiza","20.163.000","6,73","-4,27%"
"VALE3","Vale","19.720.000","54,09","-0,39%"
"GOAU4","Metalúrgica Gerdau","18.735.200","9,16","+0,11%"
"ITSA4","Itaúsa","18.590.500","11,02","-1,17%"
"VBBR3","Vibra Energia","15.976.800","21,20","-2,53%"
"BPAC11","Banco BTG Pactual","15.450.400","44,30","-2,14%"
"RENT3","Localiza","14.800.500","34,80","+1,10%"
"BEEF3","Minerva","13.924.600","4,86","-1,42%"
"CMIG4","Cemig","13.146.200","10,89","-0,18%"
"RADL3","RaiaDrogasil","12.836.700","17,52","-0,40%"
"GGBR4","Gerdau","10.955.300","16,47","+0,73%"
"PETZ3","Petz","10.378.700","3,98","-5,91%"
"EQTL3","Equatorial Energia","10.019.200","35,68","-1,82%"
"GGPS3","GPS","9.763.800","16,16","+8,89%"
"AZUL4","Azul","9.509.200","0,59","-1,67%"
"USIM5","Usiminas","9.384.600","4,31","-1,82%"
"VAMO3","Grupo Vamos","9.279.000","4,00","-3,61%"
"PETR3","Petrobras","8.981.900","32,94","-0,48%"
"PRIO3","PetroRio","8.619.700","38,87","-1,02%"
"BBSE3","BB Seguridade","8.301.300","34,99","-0,68%"
"BRAV3","3R Petroleum","8.063.500","19,94","+1,22%"
"RAIL3","Rumo","8.050.100","15,92","+0,13%"
"WEGE3","WEG","7.988.800","36,62","+0,03%"
"SIMH3","Simpar","7.528.400","4,59","-5,36%"
"CMIN3","CSN Mineração","7.451.100","4,90","-2,58%"
"ELET3","Eletrobras","7.052.200","44,96","-1,19%"
"BRAP4","Bradespar","6.924.400","16,15","-1,16%"
"CEAB3","C&A","6.839.800","15,68","-2,18%"
"CXSE3","Caixa Seguridade","6.683.200","13,81","+0,22%"
"VIVT3","Vivo","6.529.300","33,09","+0,42%"
"POMO4","Marcopolo","6.449.600","8,94","-0,33%"
"CPLE3","Copel","6.241.600","11,32","-2,50%"
"BHIA3","Casas Bahia","6.218.500","2,97","+3,12%"
"AMER3","Americanas","6.164.900","5,27","-7,05%"
"CSNA3","Siderúrgica Nacional","6.151.000","7,42","-1,72%"
"CYRE3","Cyrela","6.052.800","24,71","-2,33%"
"TIMS3","TIM","6.020.700","22,08","+0,00%"
"ENEV3","Eneva","6.014.000","13,87","-2,32%"
"MOTV3","Motiva","5.933.100","13,09","-0,08%"
"BBDC3","Banco Bradesco","5.910.700","13,82","-1,07%"
"KLBN11","Klabin","5.806.800","18,10","-1,63%"
"ANIM3","Ânima Educação","5.580.900","3,39","-3,14%"
"DIRR3","Direcional","5.543.400","13,98","-1,55%"
